seed,model,variant,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,DI,DPD,EOD
42,LogisticRegression,in_process,0.8076369673491975,0.74544930121165,0.6100656455142232,0.6220437304774654,0.6159964648696421,0.8530798035960281,0.1905612454125663,0.27777591627340525,0.36859631549695576
43,LogisticRegression,in_process,0.8085224128389596,0.73886108001167,0.6171480972031178,0.6006247211066488,0.6087743102668476,0.8477195341402242,0.18347552170862635,0.2682923519422713,0.3504626823960888
44,LogisticRegression,in_process,0.7994465965688987,0.7353681891402984,0.5933826730518067,0.608210620258813,0.6007051564565888,0.8449653453049433,0.19812265868328835,0.2757069658536062,0.3453036245286041
45,LogisticRegression,in_process,0.8100719424460432,0.7481150191975832,0.6152832674571805,0.6251673360107095,0.6201859229747676,0.848699511354547,0.1761611536828878,0.2835280764747694,0.382822189914874
46,LogisticRegression,in_process,0.8070835639180963,0.7417918821460572,0.6108637577916296,0.6122266845158412,0.6115444617784711,0.8453002143661158,0.1975020160299289,0.2698677430927391,0.3711334541195533
42,LogisticRegression,post,0.793912562257886,0.6496018089300255,0.6517213771016813,0.36323070058009815,0.4664756446991404,0.8530798035960281,0.9643812030627597,0.004981609081401217,0.11146610816123392
43,LogisticRegression,post,0.7571665744327615,0.7367106538212511,0.5076472502440612,0.6961178045515395,0.5871283402333459,0.8477195341402242,0.8020670100622019,0.07194907996263294,0.03693138107633709
44,LogisticRegression,post,0.7962368566685113,0.6590718678856334,0.6499250374812594,0.3868808567603748,0.485034965034965,0.8449653453049433,0.8304904775111436,0.026486731420213183,0.07311857669035288
45,LogisticRegression,post,0.7985611510791367,0.6776626671537489,0.63659961064244,0.43775100401606426,0.5187731359069275,0.848699511354547,0.8222709468664849,0.032171319012854666,0.059077963632253094
46,LogisticRegression,post,0.7884892086330936,0.7194101693793129,0.5723684210526315,0.5823293172690763,0.5773059057730591,0.8453002143661158,0.7621807186403465,0.0650405904751438,0.024659172920419414
42,LogisticRegression,pre,0.8090758162700609,0.7468545887340288,0.6132572431957858,0.6233824185631415,0.6182783801726046,0.8530663392128682,0.18469445037798077,0.27965555169851847,0.37720625869393887
43,LogisticRegression,pre,0.810403984504704,0.7404112245928731,0.6217712177121771,0.6015171798304328,0.6114765252891812,0.8477588107311003,0.17674861510011372,0.2696927802967655,0.34799305426901833
44,LogisticRegression,pre,0.801770890979524,0.7397545567741808,0.5972342264477096,0.6166889781347613,0.6068057080131724,0.8451794618371435,0.18902498949778201,0.28202623336206006,0.35878531348420095
45,LogisticRegression,pre,0.8114001106806862,0.7504933547029514,0.6175054704595186,0.6296296296296297,0.6235086168802475,0.8489087675728262,0.16485077979094884,0.2898853745175539,0.3915844242296738
46,LogisticRegression,pre,0.8075262866629773,0.7428338612028331,0.6114564831261101,0.6144578313253012,0.6129534831960828,0.8452522023461655,0.18811530569831958,0.27488799700491395,0.3807921650144912
42,NeuralNet,in_process,0.8164914222468179,0.7561214997037179,0.628470691934773,0.6363230700580098,0.6323725055432372,0.8649793627130115,0.19640808053723033,0.273134292350602,0.36426622371408207
43,NeuralNet,in_process,0.8216934144991699,0.748216888750173,0.6521739130434783,0.6024096385542169,0.6263048016701461,0.8619259033320342,0.11658406550631151,0.28389821800420223,0.40885455099240425
