model,threshold,accuracy,precision,recall,f1,roc_auc,DI,DPD,EOD
LogisticRegression,0.6209,0.8073049252905368,0.6062925170068028,0.6363230700580098,0.6209449161767908,0.8530798035960281,0.1898984997818899,0.2862385199163842,0.37833980701418346
NeuralNet,0.6259,0.8159380188157167,0.6267543859649123,0.6376617581436859,0.6321610263216103,0.8649793627130115,0.19974193041291136,0.2729196236663624,0.3623209794359891
RandomForest,0.5935,0.8095185390149419,0.6099830795262268,0.6434627398482821,0.6262757871878393,0.8427753141240591,0.19935300314924223,0.2831604479762395,0.3550643861725945
