model,toolkit,accuracy,DI,DPD,EOD
LogisticRegression,AIF360 (Reweighing),0.7970116214720532,0.7308386911232104,0.07400943023223089,0.02106791018065962
LogisticRegression,FairLearn (ThresholdOptimizer),0.7949086884338683,0.9650622547865433,0.005021705885585398,0.1604190674759553
LogisticRegression,Ours (Post-process),0.7868732706142778,0.8362780712285873,0.0401258659904491,0.0610506404961192
NeuralNet,AIF360 (Reweighing),0.8054233536247924,0.65122210328273,0.10087624361522615,0.005829452788183476
NeuralNet,FairLearn (ThresholdOptimizer),0.8021029330381848,0.9531336816936052,0.007965358594990118,0.18447164402186716
NeuralNet,Ours (Post-process),0.7923187603763143,0.8113991993353389,0.0533545388465434,0.0750484348555118
RandomForest,AIF360 (Reweighing),0.8064194798007748,0.44489657655784803,0.16701340908613688,0.17836586920547998
RandomForest,FairLearn (ThresholdOptimizer),0.7981184283342557,0.982953333489487,0.0030481947949657084,0.08414633763411822
RandomForest,Ours (Post-process),0.8067736579966794,0.8178731974914308,0.0287073013711543,0.0749546148685669
