model,variant,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,DI_mean,DI_std,DPD_mean,DPD_std,EOD_mean,EOD_std
LogisticRegression,in_process,0.8065522966242391,0.0041297395016519035,0.7419170943414517,0.00507774110475137,0.6093486882035916,0.00940442867919032,0.6136546184738956,0.010054528863232163,0.6114412632692634,0.007409558231225985,0.8479528817523716,0.0032733489253637437,0.18916451910345952,0.009396344604851297,0.2750342107273583,0.006169691073987898,0.3636636532912152,0.015480107357096543
LogisticRegression,post,0.7868732706142778,0.01702155966782428,0.6884914334339943,0.03800078077315435,0.6036523393044148,0.06271558487850634,0.4932619366354306,0.14176567072696847,0.5269435983294877,0.05393984748340022,0.8479528817523716,0.0032733489253637437,0.8362780712285873,0.07632319851521749,0.040125865990449164,0.027918990162614062,0.06105064049611928,0.03390178278926314
LogisticRegression,pre,0.8080354178195904,0.0037920049509338224,0.7440695172013735,0.004542883053003399,0.6122449281882603,0.009292350229025012,0.6171352074966533,0.010564427132308549,0.6146045427102577,0.006444220892838616,0.8480331163400207,0.003242382141241412,0.180686828093029,0.010087841678553457,0.2792295873759624,0.007605073474305731,0.3712722431382646,0.017580317121927973
NeuralNet,in_process,0.8148976203652463,0.005991394075646892,0.7519517181669471,0.006430040713388945,0.6282081699772935,0.021840877534761376,0.6270414993306559,0.029123773875529415,0.6268120043351295,0.005391993210537231,0.8618896217454124,0.002076566461312823,0.1532396453764932,0.028653536154400347,0.2896642724742029,0.02229197918499886,0.40472761870072127,0.041206816339975645
NeuralNet,post,0.7923187603763143,0.01617654174331759,0.7170522668963887,0.037520662235237805,0.6021802854071876,0.0680070665102157,0.5676929941990183,0.13800518673268083,0.56941401406838,0.048708761349641604,0.8618896217454124,0.002076566461312823,0.8113991993353389,0.10310367170357065,0.0533545388465434,0.03808890421797723,0.07504843485551183,0.05531576044487782
NeuralNet,pre,0.8084560044272274,0.011303690115891126,0.7556529128977887,0.012790053961822877,0.6106340685977688,0.03771388527788114,0.6508701472556895,0.05966271799200296,0.6271486692924251,0.008876424620804428,0.862148013110237,0.001961936105175864,0.17764093572705894,0.047754183127465766,0.2967372817181358,0.02592751728468792,0.3848795330157723,0.04840897456041456
RandomForest,in_process,0.8067957941339238,0.003144773124750865,0.7488672250247843,0.0041952551805668654,0.605826939001983,0.008972216563349128,0.633913431503793,0.014639451783010272,0.6193947735894667,0.004733940927656856,0.8427215748152721,0.005225665301403286,0.20144004558121287,0.016954913704625516,0.28017635222283727,0.01645853643727,0.33188002599939087,0.03216845975966384
RandomForest,post,0.8067736579966794,0.0028642570621671354,0.6714009736653742,0.013090601696651187,0.693317583150006,0.03547815760983062,0.4027666220437305,0.04199845706164849,0.5073024073246514,0.023742703185792056,0.8427215748152721,0.005225665301403286,0.8178731974914308,0.08620699882113582,0.028707301371154337,0.014240138281903045,0.07495461486856694,0.03746924214722897
RandomForest,pre,0.8111123408965135,0.003081816209394237,0.7459958238081033,0.004609926025454647,0.619996499980086,0.00893159070905416,0.6167782240071397,0.01325759374630351,0.6182631564186626,0.0059601807555650105,0.8457039882291078,0.003122935215421707,0.23444745252595975,0.01379319097581842,0.2516029786452686,0.011329776199049332,0.2997811403935705,0.03172274817454467
