model,group,n,positive_rate,tpr,fpr
LogisticRegression,0,2936,0.06709809264305178,0.3143712574850299,0.035357417371252885
LogisticRegression,1,6099,0.353336612559436,0.6927110644992134,0.1989503816793893
NeuralNet,0,2936,0.0681198910081744,0.32934131736526945,0.034588777863182166
NeuralNet,1,6099,0.3410395146745368,0.6916622968012586,0.18153625954198474
RandomForest,0,2936,0.07050408719346049,0.3413173652694611,0.03574173712528824
RandomForest,1,6099,0.3536645351697,0.6963817514420556,0.19775763358778625
