model,comparison,metric,pre_mean,comp_mean,mean_diff,t_stat,p_value
LogisticRegression,pre_vs_in_process,DI,0.4130076849800336,0.256396109954241,-0.1566115750257926,36.03830861989082,3.5388948200195287e-06
LogisticRegression,pre_vs_in_process,DPD,0.18137759216345378,0.24457395302664975,0.06319636086319597,-38.94364963402576,2.597155785650832e-06
LogisticRegression,pre_vs_in_process,EOD,0.17818657388945236,0.28524063566626584,0.10705406177681348,-19.145157957021148,4.385886539502967e-05
LogisticRegression,pre_vs_in_process,accuracy,0.8031433314886552,0.8068179302711677,0.003674598782512417,-8.16338597744168,0.0012258187389584967
LogisticRegression,pre_vs_in_process,balanced_accuracy,0.7375271996959809,0.7420040085767463,0.004476808880765404,-22.10900113796731,2.4772776571398064e-05
LogisticRegression,pre_vs_in_process,f1,0.6048031879568,0.6116807872116153,0.0068775992548153475,-41.48730616388645,2.0174836960331337e-06
LogisticRegression,pre_vs_in_process,precision,0.6025257464732253,0.610105608766795,0.007579862293569661,-5.505300881813075,0.005309636408654806
LogisticRegression,pre_vs_in_process,recall,0.607318161535029,0.6133868808567604,0.006068719321731364,-4.2458556791703055,0.01320166349220312
LogisticRegression,pre_vs_in_process,roc_auc,0.8443755199386498,0.847939627544949,0.003564107606299216,-17.625737820883348,6.085544186890734e-05
LogisticRegression,pre_vs_post,DI,0.4130076849800336,0.810283951399865,0.3972762664198314,-25.28367875651841,1.4530301070545225e-05
LogisticRegression,pre_vs_post,DPD,0.18137759216345378,0.05425803488578329,-0.1271195572776705,11.337842365665765,0.0003450129759523138
LogisticRegression,pre_vs_post,EOD,0.17818657388945236,0.044229273211624884,-0.13395730067782746,7.762816380122962,0.0014842026419812511
LogisticRegression,pre_vs_post,accuracy,0.8031433314886552,0.7789263973436636,-0.024216934144991598,2.1076748585774547,0.10275954326294218
LogisticRegression,pre_vs_post,balanced_accuracy,0.7375271996959809,0.7069212840634116,-0.030605915632569314,1.892805114785797,0.13132459128880106
LogisticRegression,pre_vs_post,f1,0.6048031879568,0.5518621006957932,-0.05294108726100677,2.614165199890798,0.05916057943835401
